date,symbol,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,target_log_ret_close_next_1d
2020-08-22,BTCUSDT,11531.23,11686.0,11376.81,11662.96,43678.701646,,,,,,-0.001272355947377651
2020-08-23,BTCUSDT,11663.51,11718.07,11514.13,11648.13,37900.00469,-0.001272355947377651,-0.14190937093818953,,,,0.008554385259456227
2020-08-24,BTCUSDT,11648.12,11824.9,11585.09,11748.2,46212.391867,0.008554385259456227,0.19829674851690415,,,,-0.03726855030411857
2020-08-25,BTCUSDT,11748.19,11767.85,11117.64,11318.42,69590.923272,-0.03726855030411857,0.4093861617252909,,,,0.01255599829022591
2020-08-26,BTCUSDT,11318.42,11539.32,11244.0,11461.43,53998.231231,0.01255599829022591,-0.2536828550309334,,,,-0.011499871598155137
2020-08-27,BTCUSDT,11461.42,11592.2,11125.0,11330.38,63246.036383,-0.011499871598155137,0.1580811687162815,,,,0.017196688078947187
2020-08-28,BTCUSDT,11330.38,11542.65,11276.89,11526.91,45953.908365,0.017196688078947187,-0.3193935576683715,,,,-0.005312121743530515
2020-08-29,BTCUSDT,11526.9,11580.02,11417.04,11465.84,32973.7992,-0.005312121743530515,-0.33192561962018996,0.6401255421949392,,,0.02117005324622385
2020-08-30,BTCUSDT,11465.84,11719.0,11458.0,11711.16,43177.879054,0.02117005324622385,0.26961502269387405,0.863865376293828,,,-0.005278114294061569
2020-08-31,BTCUSDT,11711.17,11800.77,11570.0,11649.51,55353.617744,-0.005278114294061569,0.24841371307930857,1.0910090564393773,,,0.023118797396930114
2020-09-01,BTCUSDT,11649.51,12050.85,11515.0,11921.97,78148.193668,0.023118797396930114,0.34486492469989066,1.5016353883295206,,,-0.04577532981158565
2020-09-02,BTCUSDT,11921.97,11954.57,11160.1,11388.54,87221.845602,-0.04577532981158565,0.10984787955088317,1.6375223057078157,,,-0.11603576554688845
2020-09-03,BTCUSDT,11388.54,11462.6,9960.8,10140.85,121950.106015,-0.11603576554688845,0.3351571714952314,2.1021982477519066,,,0.02967124125373026
2020-09-04,BTCUSDT,10138.29,10627.05,9875.5,10446.25,92733.599113,0.02967124125373026,-0.27388113711213624,1.396652399213996,,,-0.027126372308919018
2020-09-05,BTCUSDT,10446.25,10565.68,9825.0,10166.69,90001.605568,-0.027126372308919018,-0.02990334706552351,1.2315513737931514,28.153421167053537,,0.008765710743617944
2020-09-06,BTCUSDT,10166.69,10347.14,9994.86,10256.2,56368.788815,0.008765710743617944,-0.46791189429318786,0.6939687823428962,30.34801351271109,,0.011366292597355596
2020-09-07,BTCUSDT,10255.89,10410.75,9875.0,10373.44,62620.230676,0.011366292597355596,0.10517278411229072,0.7534520008984973,33.22508115181769,,-0.0240781306870189
2020-09-08,BTCUSDT,10373.45,10438.0,9850.0,10126.65,73491.878418,-0.0240781306870189,0.16008650276449526,0.8733521201471293,30.38032280246034,,0.009097741146643187
2020-09-09,BTCUSDT,10126.66,10343.0,9981.01,10219.2,49347.113776,0.009097741146643187,-0.3982956230121621,0.5910966077168358,32.70724150532725,,0.011448811499434249
2020-09-10,BTCUSDT,10219.29,10483.35,10070.83,10336.87,58253.75375,0.011448811499434249,0.16592925304257466,0.746141511195806,35.652055687964804,,0.004923589278497632
2020-09-11,BTCUSDT,10336.86,10397.6,10200.0,10387.89,43830.254467,0.004923589278497632,-0.28448421224342907,0.6354618836104422,36.94059832755269,,0.00509199657416824
