date,symbol,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,target_log_ret_close_next_1d
2020-08-22,ETHUSDT,387.93,397.04,379.92,395.24,643235.76543,,,,,,-0.01152757850754229
2020-08-23,ETHUSDT,395.23,396.95,383.15,390.71,445317.81989,-0.01152757850754229,-0.3677230925305589,,,,0.04251695612452415
2020-08-24,ETHUSDT,390.72,410.42,387.44,407.68,717403.81877,0.04251695612452415,0.4768506589080708,,,,-0.06263034809115628
2020-08-25,ETHUSDT,407.68,409.06,370.0,382.93,970445.38395,-0.06263034809115628,0.30211623667423215,,,,0.007492815449008584
2020-08-26,ETHUSDT,382.91,392.91,377.37,385.81,738690.7794,0.007492815449008584,-0.2728757225693322,,,,-0.006605318653611077
2020-08-27,ETHUSDT,385.81,397.1,371.48,383.27,877763.73658,-0.006605318653611077,0.17249806243135352,,,,0.030424505497155314
2020-08-28,ETHUSDT,383.31,398.0,379.75,395.11,732601.46905,0.030424505497155314,-0.18077560909172682,,,,0.008919631803364098
2020-08-29,ETHUSDT,395.1,405.69,391.88,398.65,659802.63344,0.008919631803364098,-0.10466110554136082,0.9011131761213217,,,0.07323321005831106
2020-08-30,ETHUSDT,398.65,429.89,398.3,428.94,894979.71788,0.07323321005831106,0.30486030637488776,1.2183638243865635,,,0.011243497022514051
2020-08-31,ETHUSDT,428.94,439.0,418.04,433.79,1040748.68881,0.011243497022514051,0.1508945697917366,1.3028697992809641,,,0.09159600889676413
2020-09-01,ETHUSDT,433.8,488.84,429.03,475.4,1751354.57719,0.09159600889676413,0.5204491853852663,2.0725976110373696,,,-0.07851883780086184
2020-09-02,ETHUSDT,475.4,481.39,420.0,439.5,1880642.46853,-0.07851883780086184,0.071223924415965,1.9660412323622718,,,-0.14178902395891302
2020-09-03,ETHUSDT,439.5,450.7,372.0,381.4,2408569.34151,-0.14178902395891302,0.24741947996146935,2.151086365120237,,,0.01006973786769345
2020-09-04,ETHUSDT,381.35,400.21,357.0,385.26,1806488.22474,0.01006973786769345,-0.2876481836923755,1.3497517331916398,,,-0.13975804890820162
2020-09-05,ETHUSDT,385.3,395.0,308.42,335.01,2777166.51389,-0.13975804890820162,0.43004641500531693,1.8616237630112795,30.973301683015634,,0.05174094200682596
